title,abstract,keywords,discipline,gold_keywords,id,text
基于双层粒子群优化算法的柔性作业车间调度优化,"针对柔性作业车间调度问题(FJSP),提出了一种改进的双层粒子群优化(ITLPSO)算法.首先,以机器的最大完工时间最小化为优化目标,建立了一个柔性作业车间调度模型;然后,介绍了改进的双层PSO算法,为了避免陷入局部最优和提高收敛速度,算法中加入了停滞阻止策略和凹函数递减策略;最后,对相关实例进行求解,并与已有算法作了比较.实验结果表明,与标准PSO算法和双层粒子群优化(TLPSO)算法相比,最大完工时间的最优值分别减少了11和6,最大完工时间的平均值分别减少了15.7和4,收敛速度明显提高.经过性能分析,所提算法可以明显提高柔性作业车间的调度效率,从而获得了更优的调度方案.",柔性作业车间_双层粒子群优化算法_调度优化_凹函数递减策略_停滞阻止策略,计算机科学与技术,柔性作业车间_双层粒子群优化算法_调度优化_凹函数递减策略_停滞阻止策略,5649,"基于双层粒子群优化算法的柔性作业车间调度优化 针对柔性作业车间调度问题(FJSP),提出了一种改进的双层粒子群优化(ITLPSO)算法.首先,以机器的最大完工时间最小化为优化目标,建立了一个柔性作业车间调度模型;然后,介绍了改进的双层PSO算法,为了避免陷入局部最优和提高收敛速度,算法中加入了停滞阻止策略和凹函数递减策略;最后,对相关实例进行求解,并与已有算法作了比较.实验结果表明,与标准PSO算法和双层粒子群优化(TLPSO)算法相比,最大完工时间的最优值分别减少了11和6,最大完工时间的平均值分别减少了15.7和4,收敛速度明显提高.经过性能分析,所提算法可以明显提高柔性作业车间的调度效率,从而获得了更优的调度方案."
基于最小圆覆盖区域划分的索引过滤算法,"过滤算法设计是信息内容安全处理系统中的一个重要环节,过滤速度成为衡量过滤系统性能的首要因素.索引结构是处理大规模数据的一种有效方式,但目前索引方法都是针对特定检索领域而设计,在实际过滤应用中,并不能满足过滤实时性需求.为了加快信息过滤中数据查询的判定速度,文中提出一种基于最小圆覆盖的区域划分方法,构建了适合过滤的索引结构:F-tree.该算法充分考虑实际过滤环境中正例(正常信息)多、反例(敏感信息)少的非平衡数据分布特性,利用最小圆覆盖划分方法得到最大否定判断区域.在查询阶段,正例以最大概率落入否定区域,根据否定性判定原理可以对正例快速否定判定,从而加快整体查询的判定速度.实验表明,与现有算法相比,所提出的算法减少了查询中的距离计算次数,有效提高了过滤查询性能.",过滤算法_最小圆覆盖_否定性判定_索引结构,计算机科学与技术,过滤算法_最小圆覆盖_否定性判定_索引结构,7693,"基于最小圆覆盖区域划分的索引过滤算法 过滤算法设计是信息内容安全处理系统中的一个重要环节,过滤速度成为衡量过滤系统性能的首要因素.索引结构是处理大规模数据的一种有效方式,但目前索引方法都是针对特定检索领域而设计,在实际过滤应用中,并不能满足过滤实时性需求.为了加快信息过滤中数据查询的判定速度,文中提出一种基于最小圆覆盖的区域划分方法,构建了适合过滤的索引结构:F-tree.该算法充分考虑实际过滤环境中正例(正常信息)多、反例(敏感信息)少的非平衡数据分布特性,利用最小圆覆盖划分方法得到最大否定判断区域.在查询阶段,正例以最大概率落入否定区域,根据否定性判定原理可以对正例快速否定判定,从而加快整体查询的判定速度.实验表明,与现有算法相比,所提出的算法减少了查询中的距离计算次数,有效提高了过滤查询性能."
大幅面地图的快速自动地形晕渲,"在提出一个建立三维规则数据场的新算法的基础上,提出了一个可用于大幅面地图的快速实用的地形自动晕渲算法.与传统数据网格化的方法不同,本算法采用了用网格点相邻等高线的高程值插值计算出网格点高程值的新思想,并且提出了相应的网格点相邻等高线的识别方法,该方法充分利用等高线所具有的先验知识,得到的网格点高程值质量很高.另外,该规则数据场的建立方法经改进后,其时间复杂性与数据点数(m)和网格点数(n)成线性关系O(m+n),因此计算速度很快.文中还介绍了本算法所特有的三角面剖分、法向量计算等技巧.本算法已用Visual C++ 6.0编程实现,嵌入到方正智绘地图出版系统中.",地图_晕渲_三维规则数据场,计算机科学与技术,地图_晕渲_三维规则数据场,1253,"大幅面地图的快速自动地形晕渲 在提出一个建立三维规则数据场的新算法的基础上,提出了一个可用于大幅面地图的快速实用的地形自动晕渲算法.与传统数据网格化的方法不同,本算法采用了用网格点相邻等高线的高程值插值计算出网格点高程值的新思想,并且提出了相应的网格点相邻等高线的识别方法,该方法充分利用等高线所具有的先验知识,得到的网格点高程值质量很高.另外,该规则数据场的建立方法经改进后,其时间复杂性与数据点数(m)和网格点数(n)成线性关系O(m+n),因此计算速度很快.文中还介绍了本算法所特有的三角面剖分、法向量计算等技巧.本算法已用Visual C++ 6.0编程实现,嵌入到方正智绘地图出版系统中."
分布式搜索中节点索引量大小估计算法,"分布式搜索是解决对深层网络搜索的有效方案,各节点的索引量大小是分布式搜索引擎描述选择节点的重要参数.为了解决在非合作环境中估算节点索引量大小的问题,提出并实现了基于高频词汇再采样的高频再采样算法和基于文档捕获概率不同假设的异概捕获算法.高频再采样算法在随机采样后基于样本集中的高频词汇进行再采样;而异概捕获算法则利用Logistic函数和条件似然方法估算节点的索引量大小.通过真实网络数据的实验结果表明,这些算法优于已有的采样-再采样与捕获-再捕获算法.",分布式搜索_索引量估计_采样-再采样_捕获-再捕获,计算机科学与技术,分布式搜索_索引量估计_采样-再采样_捕获-再捕获,3715,"分布式搜索中节点索引量大小估计算法 分布式搜索是解决对深层网络搜索的有效方案,各节点的索引量大小是分布式搜索引擎描述选择节点的重要参数.为了解决在非合作环境中估算节点索引量大小的问题,提出并实现了基于高频词汇再采样的高频再采样算法和基于文档捕获概率不同假设的异概捕获算法.高频再采样算法在随机采样后基于样本集中的高频词汇进行再采样;而异概捕获算法则利用Logistic函数和条件似然方法估算节点的索引量大小.通过真实网络数据的实验结果表明,这些算法优于已有的采样-再采样与捕获-再捕获算法."
采用独立复位信号的同步时序电路可测试性设计,"针对同步时序电路提出一种结合了插入可观测点的部分复位方法,该方法是基于迭代计算的电路状态信息和冲突分析测度而提出的.根据基于电路状态信息的测度和冲突分析所选择出来的部分复位触发器,可以割断电路中的关键回路,使得电路容易被初始化,同时减少在时序ATPG中的潜在冲突.以前的部分复位方法中,部分复位的触发器不能由独立的复位信号所控制,这也是不能彻底改善可测试性的一个重要原因.当部分复位触发器可以由独立的复位信号所控制时,电路的可测试性会显著提高.该文提出了一种新的可测试性结构来设计部分复位触发器,该方法同时减小了在管脚、延时和面积的开销.",部分复位_非扫描可测性设计_扫描设计_可测试性分析_初始化,计算机科学与技术,部分复位_非扫描可测性设计_扫描设计_可测试性分析_初始化,5159,"采用独立复位信号的同步时序电路可测试性设计 针对同步时序电路提出一种结合了插入可观测点的部分复位方法,该方法是基于迭代计算的电路状态信息和冲突分析测度而提出的.根据基于电路状态信息的测度和冲突分析所选择出来的部分复位触发器,可以割断电路中的关键回路,使得电路容易被初始化,同时减少在时序ATPG中的潜在冲突.以前的部分复位方法中,部分复位的触发器不能由独立的复位信号所控制,这也是不能彻底改善可测试性的一个重要原因.当部分复位触发器可以由独立的复位信号所控制时,电路的可测试性会显著提高.该文提出了一种新的可测试性结构来设计部分复位触发器,该方法同时减小了在管脚、延时和面积的开销."
关于SVD与PCA等价性的研究,"利用矩阵的Frobenius范数对奇异值分解(Singular Value Decomposition, SVD)的正规正交基的最优性给出了一种新的证明,论述了SVD与主成分分析的等价性.",正常正交分解_主成分分析_Karhunen-Loève分解_奇异值分解,计算机科学与技术,正常正交分解_主成分分析_Karhunen-Loève分解_奇异值分解,4113,"关于SVD与PCA等价性的研究 利用矩阵的Frobenius范数对奇异值分解(Singular Value Decomposition, SVD)的正规正交基的最优性给出了一种新的证明,论述了SVD与主成分分析的等价性."
基于特征学习的广告点击率预估技术研究,搜索广告中的点击率预估问题在信息检索和机器学习等领域一直是研究的热点。目前通过设计特征提取方案获得特征和针对用户点击行为建模等方法，并没有充分考虑广告数据具有的高维稀疏性、特征之间存在高度非线性关联的特点，致使信息利用不充分。为了降低数据稀疏性和充分挖掘广告数据中隐藏的规律，该文提出了面向广告数据的稀疏特征学习方法。该方法基于张量分解实现特征降维，并充分利用深度学习技术刻画数据中的非线性关联，以解决高维稀疏广告数据的特征学习问题，实验结果验证了文中提出的方法能够有效地提升广告点击率的预估精度，达到了预期效果。,搜索广告_点击率_张量分解_深度学习_社交网络_社会媒体_计算广告学,计算机科学与技术,搜索广告_点击率_张量分解_深度学习_社交网络_社会媒体_计算广告学,601,基于特征学习的广告点击率预估技术研究 搜索广告中的点击率预估问题在信息检索和机器学习等领域一直是研究的热点。目前通过设计特征提取方案获得特征和针对用户点击行为建模等方法，并没有充分考虑广告数据具有的高维稀疏性、特征之间存在高度非线性关联的特点，致使信息利用不充分。为了降低数据稀疏性和充分挖掘广告数据中隐藏的规律，该文提出了面向广告数据的稀疏特征学习方法。该方法基于张量分解实现特征降维，并充分利用深度学习技术刻画数据中的非线性关联，以解决高维稀疏广告数据的特征学习问题，实验结果验证了文中提出的方法能够有效地提升广告点击率的预估精度，达到了预期效果。
动态面向服务的黑盒子优化计算平台设计与实现,"针对工程优化算法中黑盒子的高计算代价问题,提出一个基于River技术的动态面向服务优化计算平台(R-DSOCP)用于分布式并行计算黑盒子.首先分析优化算法中黑盒子的执行模式,遵循动态面向服务架构并围绕着River的服务发布和查找功能设计所需的核心服务并利用它们组建R-DSOCP;然后设计了一个基于蚁群优化的黑盒子调度问题(BSP)算法,调度服务利用该算法不仅能够快速为黑盒子选取最佳计算服务而且能够均衡平台负载;最后,实验结果表明在分离优化算法执行和黑盒子计算后,黑盒子在平台中得到了有效的并行计算,平均计算效率相比单计算节点提高近n倍,其中n为并行因子.因此借助高性能计算(HPC)技术,R-DSOCP在工程优化领域能够为提高优化算法速度并降低计算成本提供一个可行方案.",黑盒子_代码基_蚁群优化_负载均衡_信息素,计算机科学与技术,黑盒子_代码基_蚁群优化_负载均衡_信息素,3409,"动态面向服务的黑盒子优化计算平台设计与实现 针对工程优化算法中黑盒子的高计算代价问题,提出一个基于River技术的动态面向服务优化计算平台(R-DSOCP)用于分布式并行计算黑盒子.首先分析优化算法中黑盒子的执行模式,遵循动态面向服务架构并围绕着River的服务发布和查找功能设计所需的核心服务并利用它们组建R-DSOCP;然后设计了一个基于蚁群优化的黑盒子调度问题(BSP)算法,调度服务利用该算法不仅能够快速为黑盒子选取最佳计算服务而且能够均衡平台负载;最后,实验结果表明在分离优化算法执行和黑盒子计算后,黑盒子在平台中得到了有效的并行计算,平均计算效率相比单计算节点提高近n倍,其中n为并行因子.因此借助高性能计算(HPC)技术,R-DSOCP在工程优化领域能够为提高优化算法速度并降低计算成本提供一个可行方案."
基于曲线和曲面控制的多边形物体变形反走样,"基于参数曲线和曲面控制的空间变形是重要的几何外形编辑和柔性物体动画实现手段.当这两类变形方法的对象是多边形物体时,如何对变形物体进行重采样以得到高质量结果,是计算机动画和几何造型领域中的一个重要问题.该文针对B-样条曲线和曲面控制的空间变形方法,提出了面向多边形物体的空间变形反走样方法.在该方法中,利用等距技术将B-样条曲线或曲面所张成的变形空间近似表示为张量积B-样条参数体,结合作者提出的多边形物体精确B-样条自由变形方法,实现了参数曲线和曲面控制的多边形物体变形反走样.",B-样条曲线_B-样条曲面_等距线_等距面_空间变形_采样,计算机科学与技术,B-样条曲线_B-样条曲面_等距线_等距面_空间变形_采样,4950,"基于曲线和曲面控制的多边形物体变形反走样 基于参数曲线和曲面控制的空间变形是重要的几何外形编辑和柔性物体动画实现手段.当这两类变形方法的对象是多边形物体时,如何对变形物体进行重采样以得到高质量结果,是计算机动画和几何造型领域中的一个重要问题.该文针对B-样条曲线和曲面控制的空间变形方法,提出了面向多边形物体的空间变形反走样方法.在该方法中,利用等距技术将B-样条曲线或曲面所张成的变形空间近似表示为张量积B-样条参数体,结合作者提出的多边形物体精确B-样条自由变形方法,实现了参数曲线和曲面控制的多边形物体变形反走样."
不同逻辑间翻译的逻辑性质,"如果考虑逻辑间模型的翻译并且一个逻辑的模型类被翻译为另一个逻辑的模型类的真子类,那么可靠的(the soundness)和完备的(the completeness)翻译可以将不可满足的公式翻译为可满足的公式.针对上述问题,该文提出了语义忠实(the faithfulness)和语义满(the fullness)两条逻辑性质来确保可满足的公式翻译为可满足的公式,不可满足公式翻译为不可满足公式.该文例证了二阶逻辑在标准语义下到一阶逻辑的翻译是语义忠实的但不是语义满的,在Henkin语义下是语义忠实的和语义满的.",翻译_语义忠实翻译_语义满翻译_二阶逻辑_一阶逻辑,计算机科学与技术,翻译_语义忠实翻译_语义满翻译_二阶逻辑_一阶逻辑,7068,"不同逻辑间翻译的逻辑性质 如果考虑逻辑间模型的翻译并且一个逻辑的模型类被翻译为另一个逻辑的模型类的真子类,那么可靠的(the soundness)和完备的(the completeness)翻译可以将不可满足的公式翻译为可满足的公式.针对上述问题,该文提出了语义忠实(the faithfulness)和语义满(the fullness)两条逻辑性质来确保可满足的公式翻译为可满足的公式,不可满足公式翻译为不可满足公式.该文例证了二阶逻辑在标准语义下到一阶逻辑的翻译是语义忠实的但不是语义满的,在Henkin语义下是语义忠实的和语义满的."
耦合几何特征的高精度流体动画建模方法,"动漫制作中涉及到大量的流体动画特效,视觉逼真性是它们的基本追求.然而,传统的物理模型计算代价高、效率低且流体细节易丢失.针对这些问题,文中提出一种耦合几何特征的高精度流体动画生成方法,通过利用不同流体细节(如水面和水花)之间的相关性提高计算效率和计算精度.该方法首先建立几何模型,对流体表面易于产生流体细节的区域即细节敏感区域进行定位、量化和跟踪.然后将几何模型与高精度流体动画物理模型相耦合,通过将几何模型中的定位量化函数映射为粒子密度函数,以此调整物理模型中的粒子集,从而更有效地产生高精度的流体水面和水花等细节效果.实验结果表明,文中方法能够提高流体动画计算的效率和精度,高效地生成更具有视觉真实感的流体动画.",几何特征_高精度流体动画_粒子分布_粒子水平集_光滑粒子流体动力学_纳维-斯托克斯方程,计算机科学与技术,几何特征_高精度流体动画_粒子分布_粒子水平集_光滑粒子流体动力学_纳维-斯托克斯方程,3742,"耦合几何特征的高精度流体动画建模方法 动漫制作中涉及到大量的流体动画特效,视觉逼真性是它们的基本追求.然而,传统的物理模型计算代价高、效率低且流体细节易丢失.针对这些问题,文中提出一种耦合几何特征的高精度流体动画生成方法,通过利用不同流体细节(如水面和水花)之间的相关性提高计算效率和计算精度.该方法首先建立几何模型,对流体表面易于产生流体细节的区域即细节敏感区域进行定位、量化和跟踪.然后将几何模型与高精度流体动画物理模型相耦合,通过将几何模型中的定位量化函数映射为粒子密度函数,以此调整物理模型中的粒子集,从而更有效地产生高精度的流体水面和水花等细节效果.实验结果表明,文中方法能够提高流体动画计算的效率和精度,高效地生成更具有视觉真实感的流体动画."
对象级特征引导的显著性视觉注意方法,"针对已有视觉注意模型在整合对象特征方面的不足,提出一种新的结合高层对象特征和低层像素特征的视觉注意方法.首先,利用已训练的卷积神经网(CNN)对多类目标的强大理解能力,获取待处理图像中对象的高层次特征图;然后结合实际的眼动跟踪数据,训练多个对象特征图的加权系数,给出对象级突出图;紧接着提取像素级突出图,并和对象级突出图融合获得显著图;最后,在OSIE和MIT数据集上验证了该方法,并与国际上流行的视觉注意方法进行对比,结果显示该算法在OSIE数据集上获得的AUC值相对更高.实验结果表明,所提方法能够更加充分地利用图像中对象信息,提高显著性预测的准确率.",视觉注意_自顶向下_显著性_对象信息_卷积神经网,计算机科学与技术,视觉注意_自顶向下_显著性_对象信息_卷积神经网,789,"对象级特征引导的显著性视觉注意方法 针对已有视觉注意模型在整合对象特征方面的不足,提出一种新的结合高层对象特征和低层像素特征的视觉注意方法.首先,利用已训练的卷积神经网(CNN)对多类目标的强大理解能力,获取待处理图像中对象的高层次特征图;然后结合实际的眼动跟踪数据,训练多个对象特征图的加权系数,给出对象级突出图;紧接着提取像素级突出图,并和对象级突出图融合获得显著图;最后,在OSIE和MIT数据集上验证了该方法,并与国际上流行的视觉注意方法进行对比,结果显示该算法在OSIE数据集上获得的AUC值相对更高.实验结果表明,所提方法能够更加充分地利用图像中对象信息,提高显著性预测的准确率."
